"주차장번호";"주차장명";"주차장구분";"주차장유형";"소재지도로명주소";"소재지지번주소";"주차구획수";"급지구분";"부제시행구분";"운영요일";"평일운영시작시각";"평일운영종료시각";"토요일운영시작시각";"토요일운영종료시각";"공휴일운영시작시각";"공휴일운영종료시각";"요금정보";"주차기본시간";"주차기본요금";"추가단위시간";"추가단위요금";"1일주차권요금적용시간";"1일주차권요금";"월정기권요금";"결제방법";"특기사항";"관리기관명";"전화번호";"위도";"경도";"데이터기준일자"
"204-2-000022";"태평4동제3";"공영";"노외";"경기도 성남시 수정구 남문로 112";"경기도 성남시 수정구 태평동 7289번지";163;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44734677;127.1405577;"2022-06-08"
"204-2-000023";"아래숯골";"공영";"노외";"경기도 성남시 수정구 성남대로 1259";"경기도 성남시 수정구 태평동 6812번지";150;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44228797;127.1266624;"2022-06-08"
"204-2-000024";"태평4동";"공영";"노외";"경기도 성남시 수정구 태평로 109";"경기도 성남시 수정구 태평동 1-3번지";89;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.45123428;127.1385804;"2022-06-08"
"204-2-000025";"건우";"공영";"노외";"경기도 성남시 수정구 태평로55번길 26";"경기도 성남시 수정구 태평동 224-4번지 인근";153;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.45114105;127.1330717;"2022-06-08"
"204-2-000026";"태평동 탄천변";"공영";"노외";"";"경기도 성남시 수정구 태평동 7066-4";91;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;200;10;100;24;6000;52000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44269448;127.1197144;"2022-06-08"
"204-2-000027";"수진 제1";"공영";"노외";"경기도 성남시 수정구 제일로 114";"경기도 성남시 수정구 수진동 1294-1번지";119;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.43684866;127.1339166;"2022-06-08"
"204-2-000028";"수진 제2";"공영";"노외";"경기도 성남시 수정구 제일로 99";"경기도 성남시 수정구 수진동 4510-3번지";165;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.43534918;127.1340856;"2022-06-08"
"204-2-000029";"수진 제3";"공영";"노외";"경기도 성남시 수정구 제일로 128";"경기도 성남시 수정구 수진동 1282번지";223;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.43814679;127.1333223;"2022-06-08"
"204-2-000030";"수진동 제4";"공영";"노외";"경기도 성남시 수정구 수진동 4671-2외1필지";"경기도 성남시 수정구 수진동 4671-2외1필지";101;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.43713774;127.1261803;"2022-06-08"
"204-2-000031";"번성";"공영";"노외";"경기도 성남시 수정구 수정남로 14";"경기도 성남시 수정구 수진동 3042-1번지";180;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.43915276;127.12969;"2022-06-08"
