"번호";"주차장번호";"주차장위도";"주차장경도";"목적지번호";"목적지위도";"목적지경도";"거리계산"
106;"205-1-000049";37.42983774;127.1497806;12;37.43198485;127.1518226;300
107;"205-1-000050";37.42935407;127.1474928;32;37.42749866;127.1457267;260
108;"205-1-000051";37.42846919;127.1431571;10;37.42781387;127.1419719;130
109;"205-1-000051";37.42846919;127.1431571;32;37.42749866;127.1457267;250
110;"205-1-000052";37.42816903;127.145519;32;37.42749866;127.1457267;80
111;"205-1-000055";37.42868501;127.1343088;18;37.43050391;127.1364498;280
112;"205-1-000057";37.46174441;127.1685261;24;37.46000729;127.1669018;240
113;"205-1-000058";37.45530904;127.1623406;2;37.45603265;127.1629446;100
114;"205-1-000058";37.45530904;127.1623406;25;37.45701007;127.1648213;290
115;"205-1-000058";37.45530904;127.1623406;28;37.45592072;127.1636805;140
116;"205-1-000059";37.45571582;127.1626896;2;37.45603265;127.1629446;40
117;"205-1-000059";37.45571582;127.1626896;25;37.45701007;127.1648213;240
118;"205-1-000059";37.45571582;127.1626896;28;37.45592072;127.1636805;90
119;"205-1-000060";37.45871443;127.1652505;24;37.46000729;127.1669018;200
120;"205-1-000060";37.45871443;127.1652505;25;37.45701007;127.1648213;190
121;"205-1-000060";37.45871443;127.1652505;26;37.45954117;127.1659687;110
122;"205-1-000060";37.45871443;127.1652505;91;37.46096793;127.1651277;250
123;"205-1-000061";37.45943435;127.1658896;24;37.46000729;127.1669018;110
124;"205-1-000061";37.45943435;127.1658896;25;37.45701007;127.1648213;290
125;"205-1-000061";37.45943435;127.1658896;26;37.45954117;127.1659687;10
126;"205-1-000061";37.45943435;127.1658896;91;37.46096793;127.1651277;180
127;"205-1-000062";37.46079114;127.167258;24;37.46000729;127.1669018;90
128;"205-1-000062";37.46079114;127.167258;26;37.45954117;127.1659687;180
129;"205-1-000062";37.46079114;127.167258;91;37.46096793;127.1651277;190
130;"205-1-000063";37.45888594;127.1650969;24;37.46000729;127.1669018;200
131;"205-1-000063";37.45888594;127.1650969;25;37.45701007;127.1648213;210
132;"205-1-000063";37.45888594;127.1650969;26;37.45954117;127.1659687;110
133;"205-1-000063";37.45888594;127.1650969;91;37.46096793;127.1651277;230
134;"205-1-000064";37.43101007;127.1545916;12;37.43198485;127.1518226;270
135;"205-1-000065";37.43133089;127.1572813;6;37.43262377;127.1592731;230
136;"205-1-000066";37.42914099;127.133846;18;37.43050391;127.1364498;280
137;"205-1-000067";37.42973419;127.1391554;18;37.43050391;127.1364498;250
138;"205-1-000068";37.4290505;127.1395995;10;37.42781387;127.1419719;250
139;"205-1-000069";37.43271855;127.1576107;6;37.43262377;127.1592731;150
140;"205-1-000069";37.43271855;127.1576107;11;37.43518704;127.1586003;290
141;"205-2-000003";37.43488015;127.1448164;27;37.43720809;127.14391;270
142;"205-2-000003";37.43488015;127.1448164;29;37.43598069;127.1423985;250
143;"205-2-000005";37.43667139;127.1551004;23;37.43724509;127.1565771;150
144;"205-2-000007";37.44085696;127.1648226;22;37.43912515;127.1624662;280
145;"205-2-000009";37.45048649;127.1599433;21;37.45164845;127.1609703;160
146;"205-2-000010";37.44627147;127.166525;17;37.44617734;127.1658346;60
147;"205-2-000010";37.44627147;127.166525;31;37.44645178;127.1651421;120
148;"205-2-000011";37.44788906;127.1643995;17;37.44617734;127.1658346;230
149;"205-2-000011";37.44788906;127.1643995;31;37.44645178;127.1651421;170
150;"205-2-000013";37.45491505;127.1631716;2;37.45603265;127.1629446;130
151;"205-2-000013";37.45491505;127.1631716;25;37.45701007;127.1648213;270
152;"205-2-000013";37.45491505;127.1631716;28;37.45592072;127.1636805;120
153;"205-2-000017";37.45384735;127.1638248;2;37.45603265;127.1629446;260
154;"205-2-000017";37.45384735;127.1638248;28;37.45592072;127.1636805;230
155;"205-2-000018";37.45454493;127.1649792;2;37.45603265;127.1629446;240
156;"205-2-000018";37.45454493;127.1649792;15;37.45623386;127.1671923;270
157;"205-2-000018";37.45454493;127.1649792;25;37.45701007;127.1648213;270
158;"205-2-000018";37.45454493;127.1649792;28;37.45592072;127.1636805;190
159;"205-2-000019";37.45666744;127.1651782;2;37.45603265;127.1629446;210
160;"205-2-000019";37.45666744;127.1651782;15;37.45623386;127.1671923;180
161;"205-2-000019";37.45666744;127.1651782;25;37.45701007;127.1648213;50
162;"205-2-000019";37.45666744;127.1651782;28;37.45592072;127.1636805;160
163;"205-2-000020";37.45661039;127.1698302;15;37.45623386;127.1671923;240
164;"205-2-000023";37.43726778;127.1509841;3;37.43586028;127.1494285;210
165;"205-2-000024";37.44437414;127.1571594;4;37.44433091;127.1583171;100
166;"205-2-000025";37.44013985;127.1568025;19;37.44204158;127.1544439;300
167;"205-2-000026";37.43869425;127.1543452;23;37.43724509;127.1565771;250
168;"205-2-000027";37.44064337;127.1548645;5;37.4421381;127.1540812;180
169;"205-2-000027";37.44064337;127.1548645;19;37.44204158;127.1544439;160
170;"205-2-000029";37.45757837;127.1658177;15;37.45623386;127.1671923;190
171;"205-2-000029";37.45757837;127.1658177;24;37.46000729;127.1669018;290
172;"205-2-000029";37.45757837;127.1658177;25;37.45701007;127.1648213;110
173;"205-2-000029";37.45757837;127.1658177;26;37.45954117;127.1659687;220
174;"205-2-000029";37.45757837;127.1658177;28;37.45592072;127.1636805;260
175;"205-2-000031";37.44762767;127.1631694;17;37.44617734;127.1658346;290
176;"205-2-000031";37.44762767;127.1631694;31;37.44645178;127.1651421;220
177;"206-2-000002";37.41206876;127.1291734;56;37.41154202;127.1298558;80
178;"206-2-000003";37.4117563;127.1281653;56;37.41154202;127.1298558;150
179;"206-2-000003";37.4117563;127.1281653;64;37.41264511;127.1254826;260
180;"206-2-000004";37.41165862;127.1317843;56;37.41154202;127.1298558;170
181;"206-2-000007";37.36575281;127.1073292;40;37.36527622;127.1062988;110
182;"206-2-000007";37.36575281;127.1073292;50;37.36477754;127.1070837;110
183;"206-2-000008";37.33964677;127.1093871;65;37.34002124;127.1078057;150
184;"206-2-000009";37.35073159;127.106773;36;37.35037903;127.1071865;50
185;"206-2-000009";37.35073159;127.106773;38;37.35075687;127.1082995;130
186;"206-2-000009";37.35073159;127.106773;52;37.34967133;127.1077367;150
187;"206-2-000010";37.3667955;127.1279624;58;37.36587691;127.1276175;110
188;"206-2-000010";37.3667955;127.1279624;59;37.36662132;127.127146;70
189;"206-2-000010";37.3667955;127.1279624;61;37.36680294;127.1273358;60
190;"206-2-000012";37.39541863;127.1103242;39;37.39773555;127.1114138;280
191;"206-2-000012";37.39541863;127.1103242;46;37.39424537;127.1122117;210
192;"206-2-000013";37.39688905;127.10835;39;37.39773555;127.1114138;290
193;"206-2-000015";37.39362374;127.1107478;46;37.39424537;127.1122117;150
